year,source,cost
2025,CCGT H Class,85
2025,Offshore Wind,57
2025,Onshore Wind,46
2025,Large-Scale Solar,44
2025,CCGT + CCS Post Combustion,85
2030,CCGT H Class,99
2030,Offshore Wind,47
2030,Onshore Wind,45
2030,Large-Scale Solar,39
2030,CCGT + CCS Post Combustion,87
2035,CCGT H Class,115
2035,Offshore Wind,43
2035,Onshore Wind,44
2035,Large-Scale Solar,36
2035,CCGT + CCS Post Combustion,81
2040,CCGT H Class,125
2040,Offshore Wind,40
2040,Onshore Wind,44
2040,Large-Scale Solar,33
2040,CCGT + CCS Post Combustion,82
